timestamp	slug	filename	caption	location_lat	location_lng	location_alt	location_acc	hashtag_names
1731630353	20241115092553_cf535	20241115092553_cf535.png		38.25561791559587	140.87692920665063	39.03976642154157	14.284540830693993	pxky;紅葉
1731630824	20241115093344_5236a	20241115093344_5236a.png		38.25341595182447	140.87540237936835	37.57833480834961	38	紅葉
1731822078	20241117024118_64b3d	20241117024118_64b3d.png		34.678967376523644	133.9137266349132	6.491198539733887	115.77257285214381	紅葉
1731826616	20241117035656_3ea07	20241117035656_3ea07.png		34.67813911688662	133.9157910862471	6.485459327697754	39	紅葉
1731974844	20241119090724_d1c43	20241119090724_d1c43.png		34.6853271541739	133.91965361741126	5.686663627624512	45.752	カフェ;紅葉
1731974906	20241119090826_ed0df	20241119090826_ed0df.png		34.68539646854519	133.91971901497925	7.652531623840332	57.333333333333336	紅葉
1732236952	20241122095552_cf149	20241122095552_cf149.png		34.678198021647596	133.91357773635747	9.603092193603516	890.8892791726159	紅葉
1732237056	20241122095736_5b03d	20241122095736_5b03d.png		34.68102634315574	133.91808679838448	7.210649807573006	4.019713963520807	pxky;紅葉
1732764129	20241128122209_9a5a3	20241128122209_9a5a3.png		35.771711034907696	139.86525589128013	2.18749066721648	14.239458187348117	pxky;紅葉
1732764237	20241128122357_1f535	20241128122357_1f535.png		35.77193586376358	139.86387720898068	0.9144358318299055	14.239871116092568	紅葉
1733184460	20241203090740_e67d7	20241203090740_e67d7.png		34.68739822020889	133.91934498938645	9.376587390396772	5.749240262936031	紅葉
1733184537	20241203090857_34e7b	20241203090857_34e7b.png		34.68734781904474	133.91933336739527	8.740353586152196	14.26729965429024	紅葉
1733184578	20241203090938_b7c9a	20241203090938_b7c9a.png		34.68719409030899	133.91947461897595	7.24234676361084	45.752	紅葉
1733894228	20241211021708_5be9b	20241211021708_5be9b.png		34.68713210968139	133.9205881089061	8.22380542755127	50	pxky;紅葉
1734048204	20241213090324_36612	20241213090324_36612.png		34.68657664302955	133.9223204204816	8.256402969360352	35	pxky;紅葉
1734159868	20241214040428_c5209	20241214040428_c5209.png	秋の終わり	34.67587329727817	133.91755863423475	6.449518203735352	35	pxky;紅葉
1734306994	20241216085634_851a5	20241216085634_851a5.png	イチョウがほとんど落葉しましたね…	34.68736778195109	133.91957515185376	8.980075713571622	5.940949120379463	バス;公共交通機関;紅葉
1734844124	20241222020844_19f3e	20241222020844_19f3e.png	もう冬	34.67940236664941	133.91284937701565	6.360591888427734	35	紅葉
1734844517	20241222021517_797f9	20241222021517_797f9.png		34.68152295554373	133.91500005573997	6.077898979187012	35	pxky;紅葉
1735453512	20241229032512_3a6ca	20241229032512_3a6ca.png		34.67917928344943	133.91640693841592	10.111898932525627	20.241530697152687	ミステリーサークル;紅葉;落ち葉
1735453563	20241229032603_1df40	20241229032603_1df40.png		34.67919819747986	133.91649549811154	10.702410819008946	4.5533087208410175	pxky;公園;紅葉
1736748038	20250113030038_75f7b	20250113030038_75f7b.png		34.679348257818376	133.91599935669853	6.5348454574123025	4.630772795476979	アート;ミステリーサークル;紅葉;落ち葉
